# generation power_min power_avg power_max util_min util_avg util_max
31600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
31700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
31800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
31900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
32000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
32100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
32200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
32300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
32400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
32500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
32600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
32700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
32800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
32900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
33000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
33100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
33200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
33300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
33400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
33500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
33600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
33700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
33800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
33900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
34000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
34100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
34200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
34300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
34400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
34500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
34600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
34700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
34800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
34900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
35000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
35100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
35200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
35300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
35400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
35500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
35600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
35700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
35800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
35900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
36000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
36100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
36200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
36300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
36400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
36500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
36600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
36700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
36800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
36900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
37000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
37100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
37200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
37300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
37400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
37500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
37600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
37700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
37800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
37900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
38000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
38100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
38200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
38300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
38400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
